,objective_name,data_name,scale,idx_rep,solver_name,stop_val,time,objective_value
50,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],42,0.0017911189999999522,33544.95324719039
51,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],42,0.0015004419999975482,33544.95324719039
52,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],63,0.0031340059999998005,33531.50022781847
53,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],63,0.0020988620000004232,33531.50022781847
54,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],94,0.003619121999999919,33531.50022770021
55,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],94,0.005308719999998601,33531.50022770021
56,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],141,0.004384431000001854,33531.50022770022
57,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],141,0.004346921999999864,33531.50022770022
58,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],211,0.0060760470000005284,33531.50022770022
59,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],211,0.0057495570000014595,33531.50022770022
60,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],379,0.01189235500000052,33531.50022770022
61,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],379,0.011467419999998896,33531.50022770022
62,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],818,0.024166987999997502,33531.50022770022
63,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],818,0.02409834399999866,33531.50022770022
64,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=False],2120,0.05939920599999837,33531.50022770022
65,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=False],2120,0.05599497400000075,33531.50022770022
66,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],1,0.00018460200000092186,44944.238356220034
67,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],1,0.00018814899999952672,44944.238356220034
68,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],2,0.0005268029999996315,43158.12177563631
69,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],2,0.0004003750000016737,43158.12177563631
70,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],3,0.0003170039999993435,41180.95792807681
71,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],3,0.0005134849999990365,41180.95792807681
72,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],4,0.0004261790000015253,39414.984242723905
73,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],4,0.0004183470000000966,39414.984242723905
74,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],6,0.0004971349999998154,36572.1152316292
75,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],6,0.00042002399999674367,36572.1152316292
76,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],9,0.0005758650000018406,34162.12182289008
77,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],9,0.0005977500000007296,34162.12182289008
78,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],13,0.0006890290000001187,33557.39419891655
79,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],13,0.0007215000000009297,33557.39419891655
80,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],19,0.0009152669999998864,33534.96419533275
81,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],19,0.0008657559999996067,33534.96419533275
82,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],28,0.0013868250000008686,33531.511975071226
83,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],28,0.0012563180000029206,33531.511975071226
84,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],42,0.001748101000000446,33531.50022978365
85,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],42,0.0016958920000007538,33531.50022978365
86,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],63,0.0032076019999998095,33531.50022770021
87,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],63,0.0022579890000002933,33531.50022770021
88,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],94,0.0034378980000013826,33531.500227700206
89,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],94,0.003943264000000113,33531.500227700206
90,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],141,0.006419830999998766,33531.50022770022
91,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],141,0.006149295999996696,33531.50022770022
92,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],211,0.008082605999998549,33531.50022770022
93,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],211,0.007867814000000806,33531.50022770022
94,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],379,0.014667000999999402,33531.50022770022
95,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],379,0.01424911199999812,33531.50022770022
96,Lasso Regression[reg=0.05],Boston,13,0,Python-PGD[use_acceleration=True],818,0.031066113999997924,33531.50022770022
97,Lasso Regression[reg=0.05],Boston,13,1,Python-PGD[use_acceleration=True],818,0.030730531999999755,33531.50022770022
98,Lasso Regression[reg=0.05],Boston,13,0,sklearn,1,0.0006821289999998648,88312.17334612526
99,Lasso Regression[reg=0.05],Boston,13,1,sklearn,1,0.0005386800000000136,88312.17334612526
100,Lasso Regression[reg=0.05],Boston,13,0,sklearn,2,0.0005046669999999587,57467.330882501745
101,Lasso Regression[reg=0.05],Boston,13,1,sklearn,2,0.0005804120000001411,57467.330882501745
102,Lasso Regression[reg=0.05],Boston,13,0,sklearn,3,0.0005273950000002081,41546.397794691235
103,Lasso Regression[reg=0.05],Boston,13,1,sklearn,3,0.0005137250000002425,41546.397794691235
104,Lasso Regression[reg=0.05],Boston,13,0,sklearn,4,0.0005199540000000447,37790.277427098605
105,Lasso Regression[reg=0.05],Boston,13,1,sklearn,4,0.0004900170000001758,37790.277427098605
106,Lasso Regression[reg=0.05],Boston,13,0,sklearn,6,0.000544568000000023,34731.435884262435
107,Lasso Regression[reg=0.05],Boston,13,1,sklearn,6,0.000506243999999878,34731.435884262435
108,Lasso Regression[reg=0.05],Boston,13,0,sklearn,9,0.00047745200000015586,33707.17065538653
109,Lasso Regression[reg=0.05],Boston,13,1,sklearn,9,0.00042812099999967046,33707.17065538653
110,Lasso Regression[reg=0.05],Boston,13,0,sklearn,13,0.0005475409999999847,33540.474889988516
111,Lasso Regression[reg=0.05],Boston,13,1,sklearn,13,0.000433302999999885,33540.474889988516
112,Lasso Regression[reg=0.05],Boston,13,0,sklearn,19,0.0005161870000001123,33531.50022770021
113,Lasso Regression[reg=0.05],Boston,13,1,sklearn,19,0.0005896850000000065,33531.50022770021
114,Lasso Regression[reg=0.05],Boston,13,0,sklearn,28,0.0005381449999997123,33531.50022770021
115,Lasso Regression[reg=0.05],Boston,13,1,sklearn,28,0.0006283700000002668,33531.50022770021
116,Lasso Regression[reg=0.05],Boston,13,0,sklearn,50,0.0006016049999999495,33531.50022770021
117,Lasso Regression[reg=0.05],Boston,13,1,sklearn,50,0.0005081459999995985,33531.50022770021
118,Lasso Regression[reg=0.05],Boston,13,0,sklearn,107,0.0006767690000000215,33531.50022770021
119,Lasso Regression[reg=0.05],Boston,13,1,sklearn,107,0.0006255410000002293,33531.50022770021
120,Lasso Regression[reg=0.05],Boston,13,0,sklearn,277,0.000935861999999954,33531.50022770021
121,Lasso Regression[reg=0.05],Boston,13,1,sklearn,277,0.000858302000000144,33531.50022770021
122,Lasso Regression[reg=0.05],Boston,13,0,sklearn,861,0.0015737949999996559,33531.50022770021
123,Lasso Regression[reg=0.05],Boston,13,1,sklearn,861,0.0017345009999996108,33531.50022770021
124,Lasso Regression[reg=0.1],Boston,13,0,Celer,1,0.0011786970000002839,45749.30528264999
125,Lasso Regression[reg=0.1],Boston,13,1,Celer,1,0.0007408250000002781,45749.30528264999
126,Lasso Regression[reg=0.1],Boston,13,0,Celer,2,0.0006935659999998123,45680.99355169378
127,Lasso Regression[reg=0.1],Boston,13,1,Celer,2,0.0006542180000002062,45680.99355169378
128,Lasso Regression[reg=0.1],Boston,13,0,Celer,3,0.0007458969999998288,45680.99355169378
129,Lasso Regression[reg=0.1],Boston,13,1,Celer,3,0.0007709609999997369,45680.99355169378
130,Lasso Regression[reg=0.1],Boston,13,0,Celer,5,0.0007407060000002019,45680.99355169378
131,Lasso Regression[reg=0.1],Boston,13,1,Celer,5,0.0007272970000000711,45680.99355169378
132,Lasso Regression[reg=0.1],Boston,13,0,Celer,10,0.0009578690000004997,45680.99355169378
133,Lasso Regression[reg=0.1],Boston,13,1,Celer,10,0.0007643240000003715,45680.99355169378
134,Lasso Regression[reg=0.1],Boston,13,0,Celer,25,0.0007314579999997406,45680.99355169378
135,Lasso Regression[reg=0.1],Boston,13,1,Celer,25,0.0007539139999996891,45680.99355169378
136,Lasso Regression[reg=0.1],Boston,13,0,Celer,77,0.0006890610000001018,45680.99355169378
