,objective_name,data_name,scale,idx_rep,solver_name,stop_val,time,objective_value
0,Lasso Regression[reg=0.05],Boston,13,0,sklearn,1,0.0006821289999998648,88312.17334612526
1,Lasso Regression[reg=0.05],Boston,13,0,sklearn,2,0.0005046669999999587,57467.330882501745
2,Lasso Regression[reg=0.05],Boston,13,0,sklearn,3,0.0005273950000002081,41546.397794691235
3,Lasso Regression[reg=0.05],Boston,13,0,sklearn,4,0.0005199540000000447,37790.277427098605
4,Lasso Regression[reg=0.05],Boston,13,0,sklearn,6,0.000544568000000023,34731.435884262435
5,Lasso Regression[reg=0.05],Boston,13,0,sklearn,9,0.00047745200000015586,33707.17065538653
6,Lasso Regression[reg=0.05],Boston,13,0,sklearn,13,0.0005475409999999847,33540.474889988516
7,Lasso Regression[reg=0.05],Boston,13,0,sklearn,19,0.0005161870000001123,33531.50022770021
8,Lasso Regression[reg=0.05],Boston,13,0,sklearn,28,0.0005381449999997123,33531.50022770021
9,Lasso Regression[reg=0.05],Boston,13,0,sklearn,50,0.0006016049999999495,33531.50022770021
10,Lasso Regression[reg=0.05],Boston,13,0,sklearn,107,0.0006767690000000215,33531.50022770021
11,Lasso Regression[reg=0.05],Boston,13,0,sklearn,277,0.000935861999999954,33531.50022770021
12,Lasso Regression[reg=0.05],Boston,13,0,sklearn,861,0.0015737949999996559,33531.50022770021
13,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],1,2.6665000007142226e-05,149813.17
14,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],2,9.018099999025253e-05,75283.4286585846
15,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],3,0.00011834699998303222,72772.33450641455
16,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],4,0.0001622599999961949,60529.59268951733
17,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],6,0.0002231710000160092,53096.372757414225
18,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],9,0.00035148500001014327,50781.748672719004
19,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],13,0.00046390899998982604,48039.44570101925
20,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],19,0.0008265209999933631,47151.31712346306
21,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],28,0.0010953329999949801,84456.81120273464
22,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],42,0.0015618809999864425,132335.83612543912
23,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],63,0.0022818360000087523,207709.57175974522
24,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],94,0.0035710489999871697,253037.9147451939
25,Lasso Regression[reg=0.1],Boston,13,0,Python-Frank-Wolfe[use_linesearch=True],141,0.005928823000004968,329350.76109928923
26,Lasso Regression[reg=0.1],Boston,13,0,sklearn,1,0.0005716319999997665,103068.77153785394
27,Lasso Regression[reg=0.1],Boston,13,0,sklearn,2,0.0004321690000002043,57752.84444760837
28,Lasso Regression[reg=0.1],Boston,13,0,sklearn,3,0.0005971969999998272,52098.094653934415
29,Lasso Regression[reg=0.1],Boston,13,0,sklearn,4,0.0004857209999999945,49091.581840782295
30,Lasso Regression[reg=0.1],Boston,13,0,sklearn,6,0.0005007639999998759,46643.19217486937
31,Lasso Regression[reg=0.1],Boston,13,0,sklearn,9,0.0004792299999998306,45823.33917940871
32,Lasso Regression[reg=0.1],Boston,13,0,sklearn,13,0.0005345939999998883,45689.910826342224
33,Lasso Regression[reg=0.1],Boston,13,0,sklearn,19,0.0006268650000000875,45680.99355169378
34,Lasso Regression[reg=0.1],Boston,13,0,sklearn,28,0.0005435380000000656,45680.99355169378
35,Lasso Regression[reg=0.1],Boston,13,0,sklearn,50,0.0005234319999996018,45680.99355169378
36,Lasso Regression[reg=0.1],Boston,13,0,sklearn,107,0.0006905459999999586,45680.99355169378
